,Unit,Values,Description
default_cutout,--,str,Defines a default cutout.
nprocesses,--,int,Number of parallel processes in cutout preparation
show_progress,bool,true/false,Whether progressbar for atlite conversion processes should be shown. False saves time.
cutouts,,,
-- {name},--,"Convention is to name cutouts ``<source>_<year>`` (e.g. ``era5_2019``).","Defines an available cutout. On disk, cutouts are stored as ``cutouts/{interconnect}_{cutout}.nc``; the renewable-profiles rules consume the country-wide files ``cutouts/usa_{cutout}_{year}.nc`` (e.g. ``usa_era5_2019.nc``), downloaded from Zenodo unless ``enable: build_cutout`` is set. Referenced from ``renewable: {technology}: cutout:``."
-- -- module,--,"Must be 'era5'",Source of the reanalysis weather dataset (`ERA5 <https://www.ecmwf.int/en/forecasts/datasets/reanalysis-datasets/era5>`_).
-- -- time,,"Year interval as strings, e.g. ``['2019', '2019']``","[start, end] years of weather data to include in the cutout (atlite consumes year-level bounds)."
interconnects,,,"Bounding box and grid resolution per interconnect, consumed by ``build_cutout`` when ``enable: build_cutout`` is true."
-- {interconnect},,,"One of ``western``, ``eastern``, ``texas``, ``usa``."
-- -- x,°,"Float interval within [-180, 180]",Range of longitudes to download weather data for.
-- -- y,°,"Float interval within [-90, 90]",Range of latitudes to download weather data for.
-- -- dx,°,Larger than 0.25,Grid resolution for longitude
-- -- dy,°,Larger than 0.25,Grid resolution for latitude
