Year,Sector,Interconnect,Value [MMT]
2005,Power,Western,315.96
,,Eastern,1843.14
,,Texas,230.6
,All,Western,995.47
,,Eastern,4279.71
,,Texas,645.02
2010,Power,Western,306.99
,,Eastern,1720.38
,,Texas,222.08
,All,Western,942.07
,,Eastern,3970.01
,,Texas,615.54
2015,Power,Western,286.21
,,Eastern,1390.84
,,Texas,214.91
,All,Western,918.23
,,Eastern,3639.09
,,Texas,655.26
2019,Power,Western,248.77
,,Eastern,1159.56
,,Texas,190.79
,All,Western,932.33
,,Eastern,3489.17
,,Texas,683.42
2020,Power,Western,222.97
,,Eastern,1031.97
,,Texas,176.88
,All,Western,809.85
,,Eastern,3109.29
,,Texas,624.68
2021,Power,Western,227.64
,,Eastern,1125.53
,,Texas,180.3
,All,Western,855.79
,,Eastern,3335.77
,,Texas,663.46
