year,state,sector,co2_limit_mmt
2030,USA,all,9710
2030,AL,all,108.4
2030,AZ,all,83
2030,AR,all,62
2030,CA,all,324
2030,CO,all,85.4
2030,CT,all,36.6
2030,DE,all,13
2030,DC,all,2.5
2030,FL,all,226.3
2030,GA,all,124.1
2030,ID,all,20.5
2030,IL,all,184.2
2030,IN,all,166.4
2030,IA,all,73.1
2030,KS,all,59.8
2030,KY,all,111.3
2030,LA,all,188.6
2030,ME,all,14.4
2030,MD,all,52.6
2030,MA,all,56.1
2030,MI,all,147.8
2030,MN,all,83.2
2030,MS,all,63.1
2030,MO,all,117
2030,MT,all,28.5
2030,NE,all,47.2
2030,NV,all,39.4
2030,NH,all,13.3
2030,NJ,all,89.1
2030,NM,all,45.9
2030,NY,all,156
2030,NC,all,115.6
2030,ND,all,56.5
2030,OH,all,194
2030,OK,all,87.8
2030,OR,all,38.5
2030,PA,all,213.5
2030,RI,all,10.6
2030,SC,all,69.3
2030,SD,all,15.2
2030,TN,all,92.7
2030,TX,all,663.5
2030,UT,all,62.1
2030,VT,all,5.6
2030,VA,all,98
2030,WA,all,73.8
2030,WV,all,88.4
2030,WI,all,92.5
2030,WY,all,54.6
