Line,bus0,bus1,r,x,b,s_nom,s_max_pu,length,num_parallel,type,g,s_nom_extendable,s_nom_min,s_nom_max,capital_cost,build_year,lifetime,carrier,terrain_factor,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
1,AVA0 0,BPAT0 1,4.921142412748078,33.328201113177315,3.415403593308687e-05,144.84794493537007,1.0,286.5910327797216,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AVA0 0,BPAT0 2,0.8473879217945457,5.990091981005577,0.00013861001519479096,3114.2308161104565,1.0000000000000002,228.5305474021099,7.74,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,AVA0 0,BPAT0 4,1.3320756543619636,17.45370375502823,5.537593679172421e-05,6406.646509662674,0.9999999999999999,246.09018246216004,15.922854442344045,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AVA0 0,DOPD0 0,0.9793128598537567,10.528460028562735,6.956633358176179e-05,6696.342399533415,1.0,230.247931371058,16.642854442344046,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AVA0 0,IPCO0 0,6.940746469171843,211.46026091437193,2.582481873970726e-05,4451.199253035179,1.0,614.9403128051047,11.062854442344046,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Arizona0 0,Arizona0 1,3.012608889281012,39.296467010771245,6.036270870021401e-05,3903.56997161601,1.0,386.06518113812706,9.70179584120983,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Arizona0 0,Arizona0 2,1.1525202402860717,11.67379086547971,0.00015351396509909873,8857.713477899002,1.0,328.4207963810635,22.014650283553877,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Arizona0 0,Arizona0 3,1.446233363983955,11.439354020591539,9.825083994073165e-05,4406.514224863823,1.0,267.85029083408494,10.95179584120983,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Arizona0 0,CISO-SCE0 1,6.8727535678563365,177.88112654164019,2.3628559627112698e-05,4451.199253035179,1.0,507.56250971614406,11.062854442344046,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Arizona0 0,TEPC0 0,0.959739878448488,7.171691542482821,0.0001335091533555571,6956.222917415778,0.9999999999999999,242.77980413421218,17.288752362948962,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Arizona0 1,Arizona0 2,3.8180655928412146,15.863852448363152,6.337385670930353e-05,603.5331038973753,0.9999999999999999,254.41287280411532,1.5,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Arizona0 1,Arizona0 3,15.663842768166356,69.7165620902655,3.4058621266376795e-05,201.1777012991251,1.0,402.79367909621277,0.5,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Arizona0 1,NEVP0 0,7.2616380421386255,194.2062214264024,2.3126289591501985e-05,4451.199253035179,1.0,588.6930129720342,11.062854442344046,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Arizona0 1,PACE0 0,4.332154434953734,30.557860340148235,0.00020214100291384728,2597.5654069781963,1.0,631.0811742763844,6.455897920604915,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Arizona0 2,PACE0 0,74.47776568191439,353.8814196271081,3.61774018134261e-05,100.58885064956254,1.0,824.2531217041892,0.25,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Arizona0 2,PNM0 0,1.0074305575713194,6.850923749863126,0.00022984646006832731,5010.0473287611985,1.0000000000000002,316.0421697158723,12.45179584120983,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
