interface,r,rr,MW_f0,MW_r0,MW_f1,MW_r1
AL||FL,AL,FL,2862.472,3071.021,0,0
AL||GA,AL,GA,7239.065,5146.552,0,0
AL||TN,AL,TN,5133.171,4938.505,0,0
AR||LA,AR,LA,3464.0,3464.0,0,0
AR||MS,AR,MS,499.525,879.52,0,0
AR||TN,AR,TN,4445.51,4665.2,0,0
AR||TX,AR,TX,675.0,102.0,0,0
AZ||NM,AZ,NM,4062.822,5302.939,0,0
CA||AZ,CA,AZ,5372.382,5235.758,0,0
CA||NV,CA,NV,9049.131000000001,8486.698,0,0
CT||RI,CT,RI,0.0,111.485,0,0
DE||NJ,DE,NJ,2701.0,2701.0,0,0
FL||GA,FL,GA,470.118,387.724,0,0
GA||FL,GA,FL,6205.962,6243.954,0,0
GA||NC,GA,NC,80.091,142.771,0,0
GA||SC,GA,SC,6941.772,6158.139,0,0
IA||IL,IA,IL,3376.79,3564.501,0,0
IA||MN,IA,MN,2016.746,2217.473,0,0
IA||MO,IA,MO,2147.385,2213.605,0,0
IA||WI,IA,WI,1786.401,1832.158,0,0
ID||MT,ID,MT,2691.623,3192.9,0,0
ID||UT,ID,UT,1497.656,1876.703,0,0
ID||WY,ID,WY,2000.056,2612.697,0,0
IL||IN,IL,IN,14140.393,15719.607,0,0
IL||KY,IL,KY,1427.6509999999998,1519.091,0,0
IN||KY,IN,KY,5760.549,5801.643,0,0
IN||OH,IN,OH,10399.796,10999.71,0,0
KS||MO,KS,MO,4047.12,3926.118,0,0
KY||OH,KY,OH,6946.366,5654.055,0,0
KY||VA,KY,VA,534.771,585.806,0,0
KY||WV,KY,WV,157.077,149.571,0,0
LA||AR,LA,AR,895.0,895.0,0,0
LA||MS,LA,MS,6238.022,6536.456,0,0
LA||TX,LA,TX,2341.498,2993.706,0,0
MA||CT,MA,CT,14.499,4192.886,0,0
MA||RI,MA,RI,681.396,1642.164,0,0
MD||DE,MD,DE,3489.985,2444.16,0,0
MD||PA,MD,PA,127.705,133.675,0,0
MD||VA,MD,VA,32.597,639.811,0,0
MI||IN,MI,IN,8103.869000000001,3161.753,0,0
MI||OH,MI,OH,4128.921,3615.395,0,0
MI||WI,MI,WI,850.332,408.207,0,0
MN||IA,MN,IA,885.751,967.039,0,0
MN||WI,MN,WI,3554.0699999999997,3830.993,0,0
