r,rr,length_miles,USD2004perMW
AL,AR,450.9275,826418.625
AL,AZ,1484.1275,2487313.9699999997
AL,CA,2047.86125,3699232.97625
AL,CO,1152.6375,1850169.9375
AL,CT,1164.5349999999999,3544921.3449999997
AL,DE,993.6949999999999,2813637.915
AL,FL,463.28999999999996,1106143.8766666667
AL,GA,244.0,634404.385
AL,IA,897.0516666666666,1482329.3683333334
AL,ID,1834.92,3058158.885
AL,IL,748.59625,1266693.02125
AL,IN,666.3016666666666,1194427.105
AL,KS,819.9325,1371067.0425
AL,KY,525.22375,1108275.6125
AL,LA,307.1225,626137.4775
AL,MA,1474.845,4141635.0300000003
AL,MD,848.5625,2351411.5549999997
AL,ME,1590.88,4639990.01
AL,MI,1004.2583333333333,1649001.1733333336
AL,MN,1149.17375,1824147.27
AL,MO,588.1750000000001,1039464.3333333334
AL,MS,207.4225,492697.1225
AL,MT,1652.3200000000002,2630807.599
AL,NC,550.6725,1387803.1525
AL,ND,1341.075,2097951.9875
AL,NE,993.7933333333334,1629879.1666666667
AL,NH,1475.95,4146833.805
AL,NJ,1035.995,2933547.505
AL,NM,1120.8,1821185.46
AL,NV,1895.3975,3203954.79
AL,NY,1244.755,3430991.7125
AL,OH,806.7737500000001,1589987.4875
AL,OK,723.8283333333334,1227445.8816666666
AL,OR,2114.148333333333,3557966.668333333
AL,PA,997.62375,2573003.52625
AL,RI,1275.375,4032635.9899999998
AL,SC,431.11,1079959.4625
AL,SD,1161.435,1872553.5125
AL,TN,331.18,816974.96
AL,TX,791.1149999999999,1421831.8718181818
AL,UT,1543.595,2556810.32
AL,VA,834.93875,2207996.67875
AL,VT,1555.1,3801047.02
AL,WA,2165.29875,3661924.1087499997
AL,WI,958.7075,1568218.1875
AL,WV,736.74,1935208.8275000001
AL,WY,1345.90625,2167260.97
AR,AL,450.9275,826418.625
AR,AZ,1086.3575,1745714.29375
AR,CA,1640.6725,2931563.79
AR,CO,722.56,1054589.7525
AR,CT,1439.795,3519979.74
AR,DE,1216.52,3056670.355
