THERMAL_GENERAL_INFO
GeneratorName, Turbine Type,Model Type,Co-gen,Installed Capacity(MW),MustRun,QuickStart,Fuel Name,Secondary Fuel Name,IfUseBid,Generic Min UpDn Name,MinimumDownTime(hr),MinimumUpTime(hr),MaxUpTime(hr),Generic Ramp Rate Name,RampUp Rate(MW/minute),RampDn Rate(MW/minute),Generic Outage Name,Schedule Maintenance Days,FOR,Outage Duration(hr),Generic Startup Name,Startup Cost Fixed($),Startup Fuel Name,StartFuel(MMBTu),Alpha,Startup Time,Generic VOM Name,VOM Cost,STCAP,Estimated CF
Copper_1,GT,NA,False,68,False,False,NG_West Texas_Waha,DefaultFuel,False,NA,1,1,-1,NA,6.4,6.4,NA,0,0.0753,50,NA,3777.897,NG_West Texas_Waha,17.721,1,1,NA,0.56,168,0.6
Montana_4_G4,GT LMS_LMS100,NA,False,97,False,False,NG_West Texas_Waha,DefaultFuel,False,NA,1,1,-1,NA,80.28,80.28,NA,0,0.0753,52,NA,2672.257,NG_West Texas_Waha,453,1,1,NA,0.45,168,0.6
Montana_3_G3,GT LMS_LMS100,NA,False,97,False,False,NG_West Texas_Waha,DefaultFuel,False,NA,1,1,-1,NA,80.28,80.28,NA,0,0.0753,52,NA,2672.257,NG_West Texas_Waha,453,1,1,NA,0.45,168,0.6
Montana_2_G2,GT LMS_LMS100,NA,False,97,False,False,NG_West Texas_Waha,DefaultFuel,False,NA,1,1,-1,NA,79.38,79.38,NA,0,0.0753,52,NA,2642.299,NG_West Texas_Waha,453,1,1,NA,0.45,168,0.6
Montana_1_G1,GT LMS_LMS100,NA,False,93.2,False,False,NG_West Texas_Waha,DefaultFuel,False,NA,1,1,-1,NA,79.38,79.38,NA,0,0.0753,52,NA,2642.299,NG_West Texas_Waha,453,1,1,NA,0.45,168,0.6
PdteJuarezGT1,GT,NA,False,38.22,False,False,NG_Cal_Rosarito,DefaultFuel,False,NA,1,1,-1,NA,2.8,2.8,NA,0,0.0779,50,NA,1652.83,NG_Cal_Rosarito,6.16,1,1,NA,0.56,168,0.6
PdteJuarezGT2,GT,NA,False,38.22,False,False,NG_Cal_Rosarito,DefaultFuel,False,NA,1,1,-1,NA,2.8,2.8,NA,0,0.0779,50,NA,1652.83,NG_Cal_Rosarito,6.16,1,1,NA,0.56,168,0.6
Mexicali1,GT,NA,False,44.1,False,False,Oil_DistillateFuel_2,DefaultFuel,False,NA,1,1,-1,NA,24.27345,24.27345,NA,0,0.0779,52,NA,255.51,Oil_DistillateFuel_2,115.7415,1,1,NA,0,168,0.6
Mexicali2,GT,NA,False,22.1,False,False,Oil_DistillateFuel_2,DefaultFuel,False,NA,1,1,-1,NA,16.796,16.796,NA,0,0.0779,52,NA,176.8,Oil_DistillateFuel_2,80.3169,1,1,NA,0,168,0.6
Mexicali3,GT,NA,False,22.1,False,False,Oil_DistillateFuel_2,DefaultFuel,False,NA,1,1,-1,NA,16.796,16.796,NA,0,0.0779,52,NA,176.8,Oil_DistillateFuel_2,80.0904,1,1,NA,0,168,0.6
