THERMAL_IO_CURVE_INFO
Generator Name,If Use Generic IO Curve,Generic IO Curve Name,CC DB Exist,CC DB Incr Cap(MW),CC DB Incr HR(MMBTu/MWh),Full Load Average Heat Rate,IONumBlock,IOMaxCap(MW),IOMinCap(MW),MinInput(MMBTu),IncCap2(MW),IncHR2(MMBTu/MWh),IncCap3(MW),IncHR3(MMBTu/MWh),IncCap4(MW),IncHR4(MMBTu/MWh),IncCap5(MW),IncHR5(MMBTu/MWh),IncCap6(MW),IncHR6(MMBTu/MWh),IncCap7(MW),IncHR7(MMBTu/MWh)
Copper_1,False,NA,False,0,0,0,3,68,10,348.1817,19.333,9.449,38.667,11.047,0,0,0,0,0,0,0,0
Montana_4_G4,False,NA,False,0,0,0,3,97,50,502.4456,15.667,6.812,31.333,7.315,0,0,0,0,0,0,0,0
Montana_3_G3,False,NA,False,0,0,0,3,97,50,516.5762,15.667,7.194,31.333,7.365,0,0,0,0,0,0,0,0
Montana_2_G2,False,NA,False,0,0,0,3,97,50,506.7479,15.667,6.747,31.333,7.028,0,0,0,0,0,0,0,0
Montana_1_G1,False,NA,False,0,0,0,3,93.2,50,501.2907,14.4,6.879,28.8,7.218,0,0,0,0,0,0,0,0
PdteJuarezGT1,True,GT E generic,False,0,0,-1,-1,-1,-1,264.187,0,0,0,0,0,0,0,0,0,0,0,0
PdteJuarezGT2,True,GT E generic,False,0,0,-1,-1,-1,-1,264.187,0,0,0,0,0,0,0,0,0,0,0,0
Mexicali1,True,GT OldTech,False,0,0,-1,-1,-1,-1,244.588,0,0,0,0,0,0,0,0,0,0,0,0
Mexicali2,True,GT OldTech,False,0,0,-1,-1,-1,-1,169.245,0,0,0,0,0,0,0,0,0,0,0,0
Mexicali3,True,GT OldTech,False,0,0,-1,-1,-1,-1,169.246,0,0,0,0,0,0,0,0,0,0,0,0
Cipres1,False,NA,False,0,0,0,2,31.83,15.4,268.04,16.43,6.978,0,0,0,0,0,0,0,0,0,0
CerroPrieto4-4,False,NA,False,0,0,0,2,27.3,13.65,136.2465,13.65,4.11,0,0,0,0,0,0,0,0,0,0
CerroPrieto4-3,False,NA,False,0,0,0,2,26.25,13.125,131.0063,13.125,4.11,0,0,0,0,0,0,0,0,0,0
CerroPrieto4-2,False,NA,False,0,0,0,2,26.25,13.125,131.0063,13.125,4.11,0,0,0,0,0,0,0,0,0,0
CerroPrieto4-1,False,NA,False,0,0,0,2,27.3,13.65,136.2465,13.65,4.11,0,0,0,0,0,0,0,0,0,0
CerroPrieto1-5,False,NA,False,0,0,0,2,30,15,149.7214,15,4.11,0,0,0,0,0,0,0,0,0,0
CerroPrieto3-2,False,NA,False,0,0,0,2,110.7,55.35,552.4721,55.35,4.11,0,0,0,0,0,0,0,0,0,0
CerroPrieto3-1,False,NA,False,0,0,0,2,110,55,548.9786,55,4.11,0,0,0,0,0,0,0,0,0,0
CerroPrieto2-2,False,NA,False,0,0,0,2,110.7,55.35,552.4721,55.35,4.11,0,0,0,0,0,0,0,0,0,0
PdteJuarez07,True,GT F generic,False,0,0,-1,-1,-1,-1,1202.392,0,0,0,0,0,0,0,0,0,0,0,0
PdteJuarez06,False,NA,False,0,0,0,4,160,16,252.156,24,8.382,48,8.676,72,9.165,0,0,0,0,0,0
PdteJuarez05,False,NA,False,0,0,0,4,160,16,252.159,24,8.382,48,8.676,72,9.165,0,0,0,0,0,0
CerroPrieto2-1,False,NA,False,0,0,0,2,110,55,548.9786,55,4.11,0,0,0,0,0,0,0,0,0,0
Chula_Vista,False,NA,False,0,0,0,3,35,4.375,177.0345,10.208,20.281,20.417,20.644,0,0,0,0,0,0,0,0
BorderPeaker,False,NA,False,0,0,0,2,48,44,455.1364,4,9.852,0,0,0,0,0,0,0,0,0,0
EnterprisePeakr,False,NA,False,0,0,0,3,48,6,234.9028,14,19.621,28,19.973,0,0,0,0,0,0,0,0
Larkspur1,False,NA,False,0,0,0,2,46,37,372.9191,9,8.068,0,0,0,0,0,0,0,0,0,0
Larkspur2,False,NA,False,0,0,0,2,46,37,373.2078,9,7.757,0,0,0,0,0,0,0,0,0,0
MiramarEnergy1,False,NA,False,0,0,0,2,50,44,428.1178,6,8.194,0,0,0,0,0,0,0,0,0,0
Sycamore1,False,NA,False,0,0,0,2,0.9,0.27,3.272,0.63,12.12,0,0,0,0,0,0,0,0,0,0
MM_SD_Miramar1,False,NA,False,0,0,0,2,3.2,0.48,5.69,2.72,11.855,0,0,0,0,0,0,0,0,0,0
Sycamore1-3,False,NA,False,0,0,0,2,3,0.9,10.908,2.1,12.12,0,0,0,0,0,0,0,0,0,0
OrangeGrove1,False,NA,False,0,0,0,3,50,24,268.7678,8.667,7.938,17.333,7.996,0,0,0,0,0,0,0,0
OrangeGrove2,False,NA,False,0,0,0,3,50,24,273.7615,8.667,7.69,17.333,7.741,0,0,0,0,0,0,0,0
MiramarEnergy2,False,NA,False,0,0,0,2,50,44,428.1178,6,8.194,0,0,0,0,0,0,0,0,0,0
El_Cajon_EC,False,NA,False,0,0,0,3,48,28,306.5954,6.667,7.284,13.333,7.284,0,0,0,0,0,0,0,0
Drews1,False,NA,False,0,0,0,2,47.2,5.6,80.086,41.6,9.699,0,0,0,0,0,0,0,0,0,0
Agua_Mansa,False,NA,False,0,0,0,2,50,38,373.9839,12,7.114,0,0,0,0,0,0,0,0,0,0
Puente_Hills1,False,NA,False,0,0,0,2,50,2.5,178.5,47.5,11.9,0,0,0,0,0,0,0,0,0,0
EF_Oxnard,False,NA,False,0,0,0,2,47.7,47.223,700.278,0.477,5.597,0,0,0,0,0,0,0,0,0,0
SE_Resource,False,NA,False,0,0,0,4,33,3.891,67.352,8.979,13.637,7.722,14.228,12.408,14.978,0,0,0,0,0,0
BerryPlaceritaCogen1,False,NA,False,0,0,0,2,21.76,21.542,289.127,0.218,5.597,0,0,0,0,0,0,0,0,0,0
LongBeach_GT1,False,NA,False,0,0,0,2,65,48,744.6828,17,11.812,0,0,0,0,0,0,0,0,0,0
LongBeach_GT4,False,NA,False,0,0,0,2,65,48,744.6828,17,11.812,0,0,0,0,0,0,0,0,0,0
WilmingtonCalciner,False,NA,False,0,0,0,2,17,10.74,174.445,6.26,9.734,0,0,0,0,0,0,0,0,0,0
Coso3_Navy1,False,NA,False,0,0,0,2,19,9.5,94.8236,9.5,4.11,0,0,0,0,0,0,0,0,0,0
Coso2_Navy1,False,NA,False,0,0,0,2,19,9.5,94.8236,9.5,4.11,0,0,0,0,0,0,0,0,0,0
Coso1_Navy1,False,NA,False,0,0,0,2,19,9.5,94.8236,9.5,4.11,0,0,0,0,0,0,0,0,0,0
US_Borax_GEN1,False,NA,False,0,0,0,2,48,21.78,322.979,26.22,5.597,0,0,0,0,0,0,0,0,0,0
BarrePeaker,False,NA,False,0,0,0,2,55,47,457.1593,8,7.456,0,0,0,0,0,0,0,0,0,0
MiraLomaPeaker,False,NA,False,0,0,0,2,52,46,449.148,6,8.86,0,0,0,0,0,0,0,0,0,0
McGrathPeaker,False,NA,False,0,0,0,3,49,10.878,308.8503,12.707,12.868,25.415,13.408,0,0,0,0,0,0,0,0
GrapelandPeaker,False,NA,False,0,0,0,3,48,22,250.4846,8.667,7.353,17.333,8.168,0,0,0,0,0,0,0,0
Springs1,False,NA,False,0,0,0,6,11,4.95,66.241,1.21,4.647,1.21,4.671,1.21,4.694,1.21,4.718,1.21,4.741,0,0
RiversideERC2,False,NA,False,0,0,0,3,55,22,250.9342,11,8.553,22,8.553,0,0,0,0,0,0,0,0
RiversideERC1,False,NA,False,0,0,0,3,55,22,250.0153,11,8.039,22,8.039,0,0,0,0,0,0,0,0
RiversideERC3,False,NA,False,0,0,0,3,54,22,243.9445,10.667,8.228,21.333,8.228,0,0,0,0,0,0,0,0
RiversideERC4,False,NA,False,0,0,0,3,52,22,244.7843,10,8.088,20,8.088,0,0,0,0,0,0,0,0
Canyon_Pwr1,False,NA,False,0,0,0,3,49,20,230.9404,9.667,8.071,19.333,8.329,0,0,0,0,0,0,0,0
Canyon_Pwr2,False,NA,False,0,0,0,3,49,20,229.0269,9.667,8.145,19.333,8.172,0,0,0,0,0,0,0,0
Canyon_Pwr3,False,NA,False,0,0,0,3,49,22,259.878,9,7.858,18,7.88,0,0,0,0,0,0,0,0
Ellwood_1,False,NA,False,0,0,0,2,56,16.8,314.012,39.2,13.597,0,0,0,0,0,0,0,0,0,0
Sycamore_CgnDG,False,NA,False,0,0,0,6,75,33.75,338,8.25,9.779,8.25,9.819,8.25,9.909,8.25,10.109,8.25,10.299,0,0
Sycamore_CgnCG,False,NA,False,0,0,0,6,75,33.75,338,8.25,9.779,8.25,9.819,8.25,9.909,8.25,10.109,8.25,10.299,0,0
Sycamore_CgnBG,False,NA,False,0,0,0,6,75,33.75,338,8.25,9.779,8.25,9.819,8.25,9.909,8.25,10.109,8.25,10.299,0,0
Sycamore_CgnAB,False,NA,False,0,0,0,6,75,33.75,338,8.25,9.779,8.25,9.819,8.25,9.909,8.25,10.109,8.25,10.299,0,0
RedondoBeach8,False,NA,False,0,0,0,6,486.9,129.178,1590.842,71.544,8.602,71.545,8.725,71.544,8.85,71.545,8.973,71.544,9.098,0,0
RedondoBeach6,False,NA,False,0,0,0,4,175,10,305.6997,33,6.724,49.5,7.733,82.5,9.348,0,0,0,0,0,0
RedondoBeach5,False,NA,False,0,0,0,4,178.9,10.165,305.6997,33.747,6.617,50.62,7.616,84.368,9.215,0,0,0,0,0,0
LongBeach_GT2,False,NA,False,0,0,0,2,65,48,744.6828,17,11.812,0,0,0,0,0,0,0,0,0,0
LongBeach_GT3,False,NA,False,0,0,0,2,65,48,744.6828,17,11.812,0,0,0,0,0,0,0,0,0,0
Coso4_Navy2,False,NA,False,0,0,0,2,19,9.5,94.8236,9.5,4.11,0,0,0,0,0,0,0,0,0,0
Coso5_Navy2,False,NA,False,0,0,0,2,19,9.5,94.8236,9.5,4.11,0,0,0,0,0,0,0,0,0,0
Coso6_Navy2,False,NA,False,0,0,0,2,19,9.5,94.8236,9.5,4.11,0,0,0,0,0,0,0,0,0,0
KernRiverCgn1,False,NA,False,0,0,0,3,70,31.5,315,19.25,10.109,19.25,10.299,0,0,0,0,0,0,0,0
KernRiverCgn2,False,NA,False,0,0,0,3,70,31.5,315,19.25,10.109,19.25,10.299,0,0,0,0,0,0,0,0
KernRiverCgn3,False,NA,False,0,0,0,3,70,31.5,315,19.25,10.109,19.25,10.299,0,0,0,0,0,0,0,0
KernRiverCgn4,False,NA,False,0,0,0,3,70,31.5,315,19.25,10.109,19.25,10.299,0,0,0,0,0,0,0,0
Ormond_Beach_1,False,NA,False,0,0,0,6,741,100,1557.267,128.2,7.488,128.2,8.056,128.2,8.625,128.2,9.194,128.2,9.763,0,0
Ormond_Beach_2,False,NA,False,0,0,0,6,750,50,928.5801,140,8.06,140,8.387,140,8.715,140,9.042,140,9.369,0,0
Canyon_Pwr4,False,NA,False,0,0,0,3,49,20,243.1376,9.667,7.544,19.333,7.757,0,0,0,0,0,0,0,0
LaPaloma1,False,NA,False,0,0,0,2,256.8,140,1037.609,116.8,6.248,0,0,0,0,0,0,0,0,0,0
LaPaloma2,False,NA,False,0,0,0,2,258.4,140,1048.873,118.4,6.289,0,0,0,0,0,0,0,0,0,0
LaPaloma3,False,NA,False,0,0,0,4,258.4,140,1047.131,39.467,6.27,39.466,6.366,39.467,6.462,0,0,0,0,0,0
LaPaloma4,False,NA,False,0,0,0,4,258.4,140,1043.199,39.467,6.157,39.466,6.197,39.467,6.237,0,0,0,0,0,0
Henrietta2,False,NA,False,0,0,0,3,50,30,324.066,6.667,8.616,13.333,8.837,0,0,0,0,0,0,0,0
Henrietta1,False,NA,False,0,0,0,3,50,30,324.066,6.667,8.616,13.333,8.837,0,0,0,0,0,0,0,0
HanfordEnergy1,False,NA,False,0,0,0,3,49,24,264.2986,8.333,8.367,16.667,8.454,0,0,0,0,0,0,0,0
ElNidoFacility,False,NA,False,0,0,0,4,12.5,3.75,54.775,2.5,10.157,3.75,10.675,2.5,11.871,0,0,0,0,0,0
Starwood2,False,NA,False,0,0,0,3,60,24,281.4221,12,10.155,24,10.155,0,0,0,0,0,0,0,0
Starwood1,False,NA,False,0,0,0,3,60,24,280.7157,12,9.996,24,9.996,0,0,0,0,0,0,0,0
PanocheEC4,False,NA,False,0,0,0,4,108,46.764,738.5679,20.412,9.849,20.412,10.179,20.412,10.509,0,0,0,0,0,0
PanocheEC3,False,NA,False,0,0,0,4,108,46.764,736.87,20.412,9.826,20.412,10.156,20.412,10.485,0,0,0,0,0,0
PanocheEC2,False,NA,False,0,0,0,4,108,46.764,736.87,20.412,9.826,20.412,10.156,20.412,10.485,0,0,0,0,0,0
PanocheEC1,False,NA,False,0,0,0,3,105,45.465,714.7507,19.845,9.803,39.69,10.297,0,0,0,0,0,0,0,0
Amp_Chow_Bio,False,NA,False,0,0,0,4,12.5,3.75,54.912,2.654,10.182,3.842,10.701,2.254,11.901,0,0,0,0,0,0
Chowchilla2_01,False,NA,False,0,0,0,2,52.5,10.5,171.73,42,8.286,0,0,0,0,0,0,0,0,0,0
CPeakPanochePkr,False,NA,False,0,0,0,3,58,7.25,233.3217,16.917,16.129,33.833,16.419,0,0,0,0,0,0,0,0
PanochePeakerCT,False,NA,False,0,0,0,2,49,19.6,272.686,29.4,8.558,0,0,0,0,0,0,0,0,0,0
StanislausEnrgy,False,NA,False,0,0,0,4,22.3,2.23,38.791,6.05,13.705,4.968,14.299,9.052,15.052,0,0,0,0,0,0
SalinasRiverCgn,False,NA,False,0,0,0,2,40,33,443.8378,7,8.594,0,0,0,0,0,0,0,0,0,0
KingCityPeaking,False,NA,False,0,0,0,3,50,20,252.6811,10,7.449,20,7.723,0,0,0,0,0,0,0,0
DiabloCanyon1,False,NA,False,0,0,0,2,1200,941,12867.88,259,11,0,0,0,0,0,0,0,0,0,0
DiabloCanyon2,False,NA,False,0,0,0,2,1200,941,12867.88,259,11,0,0,0,0,0,0,0,0,0,0
Eastridge1,False,NA,False,0,0,0,4,44,13.2,111.276,8.8,8.978,13.2,9.481,8.8,10.309,0,0,0,0,0,0
McKittrick_Ltd,False,NA,False,0,0,0,2,47.5,47,719.321,0.5,5.597,0,0,0,0,0,0,0,0,0,0
LiveOakCogen,False,NA,False,0,0,0,2,46,45,513.07,1,5.597,0,0,0,0,0,0,0,0,0,0
BerryTanneHills18-1,False,NA,False,0,0,0,2,17.6,17.424,266.67,0.176,5.597,0,0,0,0,0,0,0,0,0,0
Frito_Lay_Cogen,False,NA,False,0,0,0,2,6.9,2.07,17.327,4.83,7.652,0,0,0,0,0,0,0,0,0,0
Coalinga_25D1,False,NA,False,0,0,0,2,16.5,16.335,186.24,0.165,5.597,0,0,0,0,0,0,0,0,0,0
KingsRiverGT1,False,NA,False,0,0,0,2,49,47,453.8317,2,8.529,0,0,0,0,0,0,0,0,0,0
Fellow_QF,False,NA,False,0,0,0,2,6.2,3.2,82.777,3,12.418,0,0,0,0,0,0,0,0,0,0
McKittrick1_RP,False,NA,False,0,0,0,2,12,5.693,47.65,6.307,7.652,0,0,0,0,0,0,0,0,0,0
MidwaySunsetA,False,NA,False,0,0,0,4,78,35.1,351,14.3,9.819,14.3,9.959,14.3,10.119,0,0,0,0,0,0
MidwaySunsetB,False,NA,False,0,0,0,4,78,35.1,351,14.3,9.819,14.3,9.959,14.3,10.119,0,0,0,0,0,0
MidwaySunsetC,False,NA,False,0,0,0,4,78,35.1,351,14.3,9.819,14.3,9.959,14.3,10.119,0,0,0,0,0,0
DoubleC1,False,NA,False,0,0,0,2,45.4,44.946,512.431,0.454,5.597,0,0,0,0,0,0,0,0,0,0
Kern_Front_KF1,False,NA,False,0,0,0,2,52,50,385.515,2,5.597,0,0,0,0,0,0,0,0,0,0
HighSierra1,False,NA,False,0,0,0,2,24,13.5,201.347,10.5,8.422,0,0,0,0,0,0,0,0,0,0
Badger_Creek,False,NA,False,0,0,0,3,48,10.656,280.4015,12.448,11.925,24.896,12.427,0,0,0,0,0,0,0,0
MtPosoCogen,False,NA,False,0,0,0,2,57,56.43,1272.106,0.57,9.394,0,0,0,0,0,0,0,0,0,0
Chalk_Cliff,False,NA,False,0,0,0,2,46,45,544.517,1,5.597,0,0,0,0,0,0,0,0,0,0
SCACogen2GT,False,NA,False,0,0,0,3,50,20,236.2232,10,8.035,20,8.035,0,0,0,0,0,0,0,0
Ripon_Mill_GEN1,False,NA,False,0,0,0,2,49.5,49,321.719,0.5,10.486,0,0,0,0,0,0,0,0,0,0
Ox_Mountain7,False,NA,False,0,0,0,2,1.9,0.57,6.908,1.33,12.12,0,0,0,0,0,0,0,0,0,0
Ox_Mountain6,False,NA,False,0,0,0,4,1.9,0.57,9.689,0.38,11.819,0.57,12.422,0.38,13.815,0,0,0,0,0,0
Ox_Mountain5,False,NA,False,0,0,0,4,1.9,0.57,9.689,0.38,11.819,0.57,12.422,0.38,13.815,0,0,0,0,0,0
Ox_Mountain4,False,NA,False,0,0,0,4,1.9,0.57,9.689,0.38,11.819,0.57,12.422,0.38,13.815,0,0,0,0,0,0
Ox_Mountain3,False,NA,False,0,0,0,4,1.9,0.57,9.689,0.38,11.819,0.57,12.422,0.38,13.815,0,0,0,0,0,0
Ox_Mountain2,False,NA,False,0,0,0,4,1.9,0.57,9.689,0.38,11.819,0.57,12.422,0.38,13.815,0,0,0,0,0,0
Ox_Mountain1,False,NA,False,0,0,0,4,1.9,0.57,9.689,0.38,11.819,0.57,12.422,0.38,13.815,0,0,0,0,0,0
SRI_Int_Cgn,False,NA,False,0,0,0,2,6.9,3.105,17.327,3.795,7.652,0,0,0,0,0,0,0,0,0,0
Riverview_EC,False,NA,False,0,0,0,3,48,20,251.2753,9.333,7.733,18.667,7.736,0,0,0,0,0,0,0,0
Altamont1,False,NA,False,0,0,0,2,7.4,4,101.33,3.4,12.12,0,0,0,0,0,0,0,0,0,0
RichmondCgn1,False,NA,False,0,0,0,2,54,53,297.345,1,4.282,0,0,0,0,0,0,0,0,0,0
Phillips_Carbon,False,NA,False,0,0,0,2,27,19.8,108.8,7.2,10.933,0,0,0,0,0,0,0,0,0,0
Phillips_RodeoC,False,NA,False,0,0,0,4,21.601,21.384,104.965,0.062,9.974,0.093,11.137,0.062,12.587,0,0,0,0,0,0
Phillips_RodeoB,False,NA,False,0,0,0,4,21.601,21.384,104.965,0.062,9.974,0.093,11.137,0.062,12.587,0,0,0,0,0,0
Phillips_RodeoA,False,NA,False,0,0,0,4,21.601,21.384,104.965,0.062,9.974,0.093,11.137,0.062,12.587,0,0,0,0,0,0
Alameda1,False,NA,False,0,0,0,2,25.6,12.8,158.951,12.8,8.422,0,0,0,0,0,0,0,0,0,0
Alameda2,False,NA,False,0,0,0,2,25.6,12.8,158.951,12.8,8.422,0,0,0,0,0,0,0,0,0,0
Red_Bluff_IC1,False,NA,False,0,0,0,2,50,0.58,9.582,49.42,8.37,0,0,0,0,0,0,0,0,0,0
Shasta4,False,NA,False,0,0,0,4,7.84,2.352,46.098,1.17,13.628,2.113,14.323,2.205,15.929,0,0,0,0,0,0
Shasta3,False,NA,False,0,0,0,4,18.391,5.517,108.13,2.744,13.628,4.957,14.323,5.173,15.929,0,0,0,0,0,0
Shasta2,False,NA,False,0,0,0,4,18.391,5.517,108.13,2.744,13.628,4.957,14.323,5.173,15.929,0,0,0,0,0,0
Shasta1,False,NA,False,0,0,0,4,18.391,5.517,108.13,2.744,13.628,4.957,14.323,5.173,15.929,0,0,0,0,0,0
Aidlin_Geo2,False,NA,False,0,0,0,2,8,4,39.9257,4,4.11,0,0,0,0,0,0,0,0,0,0
Aidlin_Geo1,False,NA,False,0,0,0,2,8,4,39.9257,4,4.11,0,0,0,0,0,0,0,0,0,0
Geysers20,False,NA,False,0,0,0,2,40,20,199.6286,20,4.11,0,0,0,0,0,0,0,0,0,0
Geysers18,False,NA,False,0,0,0,2,45,22.5,224.5821,22.5,4.11,0,0,0,0,0,0,0,0,0,0
Geysers17,False,NA,False,0,0,0,2,56,28,279.48,28,4.11,0,0,0,0,0,0,0,0,0,0
BottleRock,False,NA,False,0,0,0,2,10,5,49.9071,5,4.11,0,0,0,0,0,0,0,0,0,0
Geysers16,False,NA,False,0,0,0,2,49,24.5,244.545,24.5,4.11,0,0,0,0,0,0,0,0,0,0
Geysers14,False,NA,False,0,0,0,2,50,25,249.5357,25,4.11,0,0,0,0,0,0,0,0,0,0
Geysers13,False,NA,False,0,0,0,2,56,28,279.48,28,4.11,0,0,0,0,0,0,0,0,0,0
Geysers12,False,NA,False,0,0,0,2,50,25,249.5357,25,4.11,0,0,0,0,0,0,0,0,0,0
Geysers11,False,NA,False,0,0,0,2,68,34,339.3686,34,4.11,0,0,0,0,0,0,0,0,0,0
Geysers08,False,NA,False,0,0,0,2,38,19,189.6471,19,4.11,0,0,0,0,0,0,0,0,0,0
Geysers07,False,NA,False,0,0,0,2,38,19,189.6471,19,4.11,0,0,0,0,0,0,0,0,0,0
Geysers06,False,NA,False,0,0,0,2,42,21,209.61,21,4.11,0,0,0,0,0,0,0,0,0,0
Geysers05,False,NA,False,0,0,0,2,43,21.5,214.6007,21.5,4.11,0,0,0,0,0,0,0,0,0,0
Calistoga2,False,NA,False,0,0,0,2,31.5,15.75,157.2075,15.75,4.11,0,0,0,0,0,0,0,0,0,0
Calistoga1,False,NA,False,0,0,0,2,31.5,15.75,157.2075,15.75,4.11,0,0,0,0,0,0,0,0,0,0
HumboldtBayIC09,False,NA,False,0,0,0,2,16.3,3.26,47.393,13.04,7.366,0,0,0,0,0,0,0,0,0,0
HumboldtBayIC08,False,NA,False,0,0,0,2,16.3,3.26,47.393,13.04,7.366,0,0,0,0,0,0,0,0,0,0
HumboldtBayIC10,False,NA,False,0,0,0,2,16.3,3.26,47.393,13.04,7.366,0,0,0,0,0,0,0,0,0,0
HumboldtBayIC07,False,NA,False,0,0,0,2,16.3,3.26,47.393,13.04,7.366,0,0,0,0,0,0,0,0,0,0
HumboldtBayIC06,False,NA,False,0,0,0,2,16.3,3.26,47.393,13.04,7.366,0,0,0,0,0,0,0,0,0,0
HumboldtBayIC05,False,NA,False,0,0,0,2,16.3,3.26,47.393,13.04,7.366,0,0,0,0,0,0,0,0,0,0
HumboldtBayIC04,False,NA,False,0,0,0,2,16.3,3.26,47.393,13.04,7.366,0,0,0,0,0,0,0,0,0,0
HumboldtBayIC03,False,NA,False,0,0,0,2,16.3,3.26,47.393,13.04,7.366,0,0,0,0,0,0,0,0,0,0
