generatorkey,ads_name,long id,bus id,bus name,devstatus,balancing_area,region name,plant_id_ads,plant_id_eia,generator_id_ads,lat,lon
20644,clearwaterwind,MT-65577-CW1,623431,NEXT_COL,Existing,NWMT,NW_NWMT,65577,65577,CW1,46.81771,-106.3789
17647,hotpotsolar,_,641173,HOTPOT_PV1,Future-Planned,SPPC,SW_NVE,_,65419,,40.887886,-117.130531
16797,jicarillasolar2,NM-Future-Tier3,10566,JEC_SPV2,Under Construction,PNM,SW_PNM,Future,65103,Tier3,36.141053,-107.1712
20636,niyolwind,CO-65059-WNIYO,72739,NIYOL_GEN,Future-Planned,WACM,RM_WACM,65059,65059,WNIYO,40.613364,-102.9526
17446,kingsriversyphon,_,34388,RAINBW,Under Construction,CIPV,CA_CISO,_,65033,,36.764491,-119.441856
18065,daggett2,_,86046,APFWG Bus,Future-Planned,CISC,CA_CISO,_,64851,,34.860918,-116.8553
19291,castlesolar1,64740,65935,MCFADDEN,Existing,PAUT,BS_PACE,6,64740,7-Apr,39.334418,-110.9907
19294,castlesolar2,64740,65935,MCFADDEN,Existing,PAUT,BS_PACE,6,64740,7-Apr,39.334418,-110.9907
18086,leconteenergystorage,_,86062,APFWG Bus,Under Construction,CISD,CA_CISO,_,64701,,32.677208,-115.6702
18096,bigrocksolarfarm,_,86073,APFWG Bus,Under Construction,CISD,CA_CISO,_,64636,,32.733421,-115.7137
18085,kearnysouthenergystorage,_,22372,KEARNY,Future-Planned,CISD,CA_CISO,_,64614,,32.832886,-117.1323
18084,kearnynorthenergystorage,_,22372,KEARNY,Future-Planned,CISD,CA_CISO,_,64612,,32.83347,-117.1344
17643,chuckwalla,"64558_CHW
CHW1",180945,CHCKWALLA G1,Future-Planned,NEVP,SW_NVE,6,64558,5-Apr,36.516196,-114.6968
18310,chuckwallasolarba180,64558_32213,86159,APFWG Bus,Future-Planned,NEVP,SW_NVE,6,64558,5-Apr,36.516196,-114.6968
19236,byronhighwaysolar,2032ADS,33772,B.BTHNY-,Existing,CIPV,CA_CISO,2,64471,0-3,37.847114,-121.6173
19155,hornrapidssolarandstoragepvpvnt32,64198_HRPV,47271,SAND_HILL+,Existing,BPAT,NW_BPAT,6,64198,1-Apr,46.3529,-119.3222
16854,rattlesnakesolar,nan,70459,WALSENBG,Existing,PSCO,RM_PSCO,n,64189,a-n,45.236,-112.746
17188,graphitesolarillcpv6595301,UT-64186-394,66394,GRAPH SG,Future-Conceptual,PAUT,BS_PACE,64186,64186,394,39.54844,-110.7121
16117,fishspringsranch1,NV-64148-FISH,640911,FISHSP_PV,Future-Planned,SPPC,SW_NVE,64148,64148,FISH,40.074741,-119.974166
17328,desertharvestiibess,CA-64103-DH003,25036,DSTHVST_G2,Existing,CISC,CA_CISO,64103,64103,DH003,33.8,-115.38
17784,desertharvest21pvnt70,64103_,25036,DSTHVST_G2,Existing,CISC,CA_CISO,6,64103,1-Apr,33.8,-115.38
18516,sulussolar29ss29pvnt26,64048_,43389,ORIENT,Existing,PGE,NW_PGE,6,64048,Apr-00,45.46,-122.29
18514,sulussolar25ss25pvnt22,64034_,408030,CAN_ORE_CIO,Existing,PGE,NW_PGE,6,64034,Apr-00,45.27,-122.82
18283,greenparksolargspvnt13,64033_,43126,CULVER,Existing,PGE,NW_PGE,6,64033,Apr-00,44.879414,-122.9375
18513,sulussolar2222pvnt3,64022_,43285,LIBERAL,Existing,PGE,NW_PGE,6,64022,Apr-00,44.97,-122.78
18271,bristolsolarbspvnt3,64009_,43353,N MARION,Existing,PGE,NW_PGE,6,64009,Apr-00,45.15,-122.79
18287,milfordsolarormspvnt3,64008_,43107,CORNELUS,Existing,PGE,NW_PGE,6,64008,Apr-00,45.57,-123.05
18515,sulussolar28ss28pvnt3,64007_,43641,WILLAMINA2,Existing,PGE,NW_PGE,6,64007,Apr-00,45.1,-123.52
18517,sulussolar3333pvnt3,64006_,43151,DUNSCRNR,Existing,PGE,NW_PGE,6,64006,Apr-00,45.08,-123.4
18539,horseshoesolarllc,_,65815,HORSHOE_SG,Existing,PAUT,BS_PACE,_,63984,,40.71828,-112.6658
