name,regions,planning_horizon,limit,import_emissions_factor,notes
OR_emms,"p6, p7,  p8",2030,3419959,0,For ReEDS Aggregation
WA_emms,"p1, p2, p3, p4",2045,0,0,For ReEDS Aggregation
CA_AB32,"p8, p9, p10, p11",2025,46585434,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p12",2026,45781700,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p13",2027,44970660,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p14",2028,44158827,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p15",2029,41675827,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p16",2030,39199474,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p17",2031,37575685,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p18",2032,35953673,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p19",2033,34332999,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p20",2034,32717941,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p21",2035,31106889,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p22",2036,30471094,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p23",2037,29832376,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p24",2038,29195599,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p25",2039,28557104,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p26",2040,27921482,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p27",2041,27298498,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p28",2042,26680772,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p29",2043,26070729,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p30",2044,25466671,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p31",2045,8680822,0.428,2022 carb scoping plan
CA_AB32,"p8, p9, p10, p31",2050,8680822,0.428,temp using 2045
