GeneratorKey,Name,plant_name_eia,Long ID,plant_id_eia,Long Name,generator_id,latitude,longitude,merged_type
40,hatchsolarec,hatchsolarenergycenterillc,NM-57591-1,57591,hatchsolarenergycenterillc1,1,32.63,-107.2597,Long_ID
175,roosevelt,roosevelt,AZ-149-ROOS,149,rooseveltroos,ROOS,33.671104,-111.1618,Long_ID
518,chulavista,chulavista,CA-55540-GEN1,55540,chulavistaigen1,GEN1,32.591667,-117.0586,Long_ID
530,borderpeaker,calpeakpowerlonestarno4,CA-55510-CPP4,55510,calpeakpowerborderpeakerplantcpp4,CPP4,32.562448,-116.9439,Long_ID
531,enterprisepeakr,calpeakpowerenterpriseno7,CA-55513-CPP7,55513,calpeakpowerenterprisepeakerplantcpp7,CPP7,33.121943,-117.1174,Long_ID
533,larkspur1,larkspurenergyfacility,CA-55542-CTG1,55542,larkspurenergyfacilityctg1,CTG1,32.567041,-116.9442,Long_ID
534,larkspur2,larkspurenergyfacility,CA-55542-CTG2,55542,larkspurenergyfacilityctg2,CTG1,32.567041,-116.9442,Long_ID
537,miramarenergy1,miramar,CA-56232-1,56232,miramarenergyfacility1,1,32.8769,-117.1664,Long_ID
548,sycamore1,sycamoreenergy1llc,CA-10387-1,10387,sycamoreenergy11,1,32.857709,-117.0288,Long_ID
550,mmsdmiramar1,miramarlandfillmbc,CA-55094-UNT1,55094,mmsandiegomiramarunt1,UNT1,32.844845,-117.1683,Long_ID
555,sycamore13,sycamoreenergy1llc,CA-10387-3,10387,sycamoreenergy13,1,32.857709,-117.0288,Long_ID
556,lakehodges1,lakehodgeshydroelectricfacility,CA-57729-1,57729,lakehodgeshydroelectricfacility1,1,33.058611,-117.1194,Long_ID
557,lakehodges2,lakehodgeshydroelectricfacility,CA-57729-2,57729,lakehodgeshydroelectricfacility2,1,33.058611,-117.1194,Long_ID
561,orangegrove1,orangegrovepeakingfacility,CA-56914-CTG1,56914,orangegrovepeakingfacility1,CTG1,33.3594,-117.1114,Long_ID
562,orangegrove2,orangegrovepeakingfacility,CA-56914-CTG2,56914,orangegrovepeakingfacility2,CTG1,33.3594,-117.1114,Long_ID
565,miramarenergy2,miramar,CA-56232-2,56232,miramarenergyfacility2,1,32.8769,-117.1664,Long_ID
566,elcajonec,elcajonenergycenter,CA-57001-GEN1,57001,elcajonenergycentergen1,GEN1,32.796106,-116.9721,Long_ID
567,nrgborrego,solarborregoi,CA-57455-SB1,57455,nrgborregosolarone1,SB1,33.298889,-116.3508,Long_ID
604,ocotilloexpress1,ocotilloexpressllc,CA-57514-WTG,57514,ocotilloexpressllcwtg1q493c493g1rpsca0081cpucidsd0915zoneimperial,WTG,32.752778,-116.0447,Long_ID
605,ocotilloexpress2,ocotilloexpressllc,CA-57514-WTG,57514,ocotilloexpressllcwtg2q493c493g2rpsca0081cpucidsd0915zoneimperial,WTG,32.752778,-116.0447,Long_ID
609,kernriver11,kernriver1,CA-340-1,340,kernriver11,1,35.460303,-118.7796,Long_ID
