"tech_pypsa","geoid","county","build_year","retire_year","heat_rate","generator_id","reeds_ba","cap_gw","cap_gw_2030","cap_gw_2024","diff","cap_sum_2024","diff_per_county","cap_2030","fuel_type","ramp_limit_up","ramp_limit_down","dateout","p_nom","operating_year","generator_name","energy_capacity_mwh","longitude","latitude"
"CCGT","48227","Howard County",1987,2042,9256,13126,"p60",0.071,0.9153,1.2043,-0.3,1.2043,-0.0176866229344848,53.3133770655152,"Gas",3,3,2100,53.3133770655152,1987,"CCGT_13126",NA,-101.422,32.273
"CCGT","48227","Howard County",1987,2042,9256,13127,"p60",0.071,0.9153,1.2043,-0.3,1.2043,-0.0176866229344848,53.3133770655152,"Gas",3,3,2100,53.3133770655152,1987,"CCGT_13127",NA,-101.422,32.273
"CCGT","48227","Howard County",1988,2043,9256,13128,"p60",0.07,0.9153,1.2043,-0.3,1.2043,-0.0174375155692103,52.5624844307897,"Gas",3,3,2100,52.5624844307897,1988,"CCGT_13128",NA,-101.422,32.273
"CCGT","48335","Mitchell County",2023,2078,6431,20069,"p60",0.2499,0.9153,1.2043,-0.3,1.2043,-0.0622519305820809,187.648069417919,"Gas",3,3,2100,187.648069417919,2023,"CCGT_20069",NA,-101.026,32.309
"CCGT","48335","Mitchell County",2023,2078,6431,20070,"p60",0.2267,0.9153,1.2043,-0.3,1.2043,-0.056472639707714,170.227360292286,"Gas",3,3,2100,170.227360292286,2023,"CCGT_20070",NA,-101.026,32.309
"CCGT","48335","Mitchell County",2023,2078,6431,20071,"p60",0.2267,0.9153,1.2043,-0.3,1.2043,-0.056472639707714,170.227360292286,"Gas",3,3,2100,170.227360292286,2023,"CCGT_20071",NA,-101.026,32.309
"CCGT","48353","Nolan County",1989,2009,10139,12738,"p60",0.086,0.9153,1.2043,-0.3,1.2043,-0.0214232334136013,64.5767665863987,"Gas",3,3,2100,64.5767665863987,1989,"CCGT_12738",NA,-100.363,32.493
"CCGT","48353","Nolan County",1989,2009,10139,12740,"p60",0.086,0.9153,1.2043,-0.3,1.2043,-0.0214232334136013,64.5767665863987,"Gas",3,3,2100,64.5767665863987,1989,"CCGT_12740",NA,-100.363,32.493
"CCGT","48353","Nolan County",1989,2009,10276,12741,"p60",0.076,0.9153,1.2043,-0.3,1.2043,-0.0189321597608569,57.0678402391431,"Gas",3,3,2100,57.0678402391431,1989,"CCGT_12741",NA,-100.363,32.493
"CCGT","48353","Nolan County",1989,2009,10395,12739,"p60",0.041,0.9153,1.2043,-0.3,1.2043,-0.0102134019762518,30.7865980237482,"Gas",3,3,2100,30.7865980237482,1989,"CCGT_12739",NA,-100.363,32.493
"CCGT","48135","Ector County",2002,2057,8598,16245,"p62",0.068,1.534,1.534,0,1.534,0,68,"Gas",3,3,2100,68,2002,"CCGT_16245",NA,-102.315,31.841
"CCGT","48135","Ector County",2002,2057,8598,16246,"p62",0.068,1.534,1.534,0,1.534,0,68,"Gas",3,3,2100,68,2002,"CCGT_16246",NA,-102.315,31.841
"CCGT","48135","Ector County",2007,2062,8598,16243,"p62",0.07,1.534,1.534,0,1.534,0,70,"Gas",3,3,2100,70,2007,"CCGT_16243",NA,-102.315,31.841
"CCGT","48135","Ector County",2007,2062,8598,16244,"p62",0.07,1.534,1.534,0,1.534,0,70,"Gas",3,3,2100,70,2007,"CCGT_16244",NA,-102.315,31.841
