State,City,Base Project Cost ($/kW ),Location Variation,Delta Cost Difference ($/kW),Total Location Project Cost ($/kW)
Alabama,Huntsville,6191,0.97,-204,5987
Arizona,Phoenix,6191,0.98,-97,6094
Arkansas,Little Rock,6191,0.97,-166,6025
California,Bakersfield,6191,1.2,1242,7433
California,Los Angeles,6191,1.21,1270,7461
California,Modesto,6191,1.21,1309,7500
California,Sacramento,6191,1.23,1402,7593
California,San Francisco,6191,1.3,1855,8046
Colorado,Denver,6191,0.97,-212,5979
Connecticut,Hartford,6191,1.17,1033,7224
Delaware,Dover,6191,1.14,850,7041
District of Columbia,Washington,6191,1.02,135,6326
Florida,Tallahassee,6191,0.94,-345,5845
Florida,Tampa,6191,0.96,-228,5963
Georgia,Atlanta,6191,0.99,-70,6121
Idaho,Boise,6191,1.03,202,6392
Illinois,Chicago,6191,1.27,1673,7864
Illinois,Joliet,6191,1.23,1429,7620
Indiana,Indianapolis,6191,1.03,165,6356
Iowa,Davenport,6191,1.05,282,6473
Iowa,Waterloo,6191,0.97,-160,6031
Kansas,Wichita,6191,0.98,-142,6049
Kentucky,Louisville,6191,1.01,85,6276
Louisiana,New Orleans,6191,0.98,-135,6056
Maine,Portland,6191,1.03,202,6393
Maryland,Baltimore,6191,1.02,151,6342
Massachusetts,Boston,6191,1.21,1311,7502
Michigan,Detroit,6191,1.12,754,6944
Michigan,Grand Rapids,6191,1.04,274,6465
Minnesota,Saint Paul,6191,1.1,628,6819
Mississippi,Jackson,6191,0.95,-340,5851
Missouri,St. Louis,6191,1.14,867,7058
Missouri,Kansas City,6191,1.08,490,6681
Montana,Great Falls,6191,0.97,-182,6009
Nebraska,Omaha,6191,0.98,-126,6065
New Hampshire,Concord,6191,1.08,510,6701
New Jersey,Newark,6191,1.24,1467,7658
New,Albuquerque,6191,0.99,-37,6154
New Mexico,New York,6191,1.47,2941,9132
New York,Syracuse,6191,1.07,404,6595
Nevada,Las Vegas,6191,1.16,999,7189
North Carolina,Charlotte,6191,0.96,-238,5953
North Dakota,Bismarck,6191,1.03,170,6361
Oklahoma,Oklahoma City,6191,1.01,40,6231
Oklahoma,Tulsa,6191,0.93,-436,5755
Ohio,Cincinnati,6191,0.93,-438,5753
Oregon,Portland,6191,1.1,634,6825
Pennsylvania,Philadelphia,6191,1.22,1359,7550
Pennsylvania,Wilkes-Barre,6191,1.08,525,6716
Rhode Island,Providence,6191,1.15,902,7093
South Carolina,Charleston,6191,0.98,-127,6064
South Carolina,Spartanburg,6191,0.97,-187,6004
South Dakota,Rapid City,6191,0.97,-168,6023
Tennessee,Knoxville (Nashville),6191,0.99,-84,6107
Texas,Houston,6191,0.93,-422,5769
Utah,Salt Lake City,6191,1,-16,6175
Vermont,Burlington,6191,1.07,444,6635
Virginia,Alexandria,6191,1.01,93,6284
Virginia,Lynchburg,6191,0.96,-245,5946
Washington,Seattle,6191,1.15,923,7114
Washington,Spokane,6191,1.06,385,6576
West Virginia,Charleston,6191,1.04,263,6454
Wisconsin,Green Bay,6191,1.05,285,6476
Wyoming,Cheyenne,6191,0.99,-53,6138
