State,City ,Base Project Cost ($/kW ), Location Variation, Delta Cost Difference ($/kW), Total Location Project Cost ($/kW)
Alabama,Huntsville,"1,313",0.95,-68,1244
Arizona,Phoenix,"1,313",0.97,-40,1273
Arkansas,Little Rock,"1,313",0.98,-29,1284
California,Bakersfield,"1,313",1.07,87,1400
California,Los Angeles,"1,313",1.09,116,1429
California,Modesto,"1,313",1,74,1386
California,Sacramento,"1,313",1,99,1412
California,San Francisco,"1,313",1,235,1548
Colorado,Denver,"1,313",0.98,-28,1285
Connecticut,Hartford,"1,313",1.08,104,1417
Delaware,Dover,"1,313",1.04,56,1369
District of Columbia,Washington,"1,313",1.02,24,1337
Florida,Tallahassee,"1,313",0.96,-50,1263
Florida,Tampa,"1,313",0.97,-37,1276
Georgia,Atlanta,"1,313",0.98,-24,1289
Idaho,Boise,"1,313",0.98,-32,1281
Illinois,Chicago,"1,313",1,108,1421
Illinois,Joliet,"1,313",1.09,124,1437
Indiana,Indianapolis,"1,313",1.01,15,1328
Iowa,Davenport,"1,313",1.01,20,1333
Iowa,Waterloo,"1,313",0.97,-40,1273
Kansas,Wichita,"1,313",0.98,-27,1286
Kentucky,Louisville,"1,313",0.99,-8,1305
Louisiana,New Orleans,"1,313",0.98,-27,1286
Maine,Portland,"1,313",1,4,1317
Maryland,Baltimore,"1,313",1.01,13,1326
Massachusetts,Boston,"1,313",1,137,1450
Michigan,Detroit,"1,313",1.04,55,1368
Michigan,Grand Rapids,"1,313",1.01,13,1326
Minnesota,Saint Paul,"1,313",1.04,55,1368
Mississippi,Jackson,"1,313",0.97,-41,1272
Missouri,St. Louis,"1,313",1.06,83,1396
Missouri,Kansas City,"1,313",1.03,38,1351
Montana,Great Falls,"1,313",0.98,-25,1288
Nebraska,Omaha,"1,313",0.98,-21,1292
New Hampshire,Concord,"1,313",1.02,20,1333
New Jersey,Newark,"1,313",1.11,151,1464
New,Albuquerque,"1,313",1,-5,1308
New Mexico,New York,"1,313",1,287,1600
New York,Syracuse,"1,313",1.03,34,1347
Nevada,Las Vegas,"1,313",1.07,87,1399
North Carolina,Charlotte,"1,313",0.97,-38,1274
North Dakota,Bismarck,"1,313",0.99,-17,1296
Oklahoma,Oklahoma City,"1,313",0.98,-29,1284
Oklahoma,Tulsa,"1,313",0.95,-60,1253
Ohio,Cincinnati,"1,313",0.95,-61,1252
Oregon,Portland,"1,313",1.05,65,1378
Pennsylvania,Philadelphia,"1,313",1,173,1486
Pennsylvania,Wilkes-Barre,"1,313",1.02,24,1337
Rhode Island,Providence,"1,313",1.04,55,1368
South Carolina,Charleston,"1,313",1.03,44,1357
South Carolina,Spartanburg,"1,313",1.04,55,1368
South Dakota,Rapid City,"1,313",0.96,-50,1263
Tennessee,Knoxville (Nashville),"1,313",1,-1,1312
Texas,Houston,"1,313",0.99,-19,1294
Utah,Salt Lake City,"1,313",0.97,-41,1272
Vermont,Burlington,"1,313",0.97,-40,1273
Virginia,Alexandria,"1,313",1,-6,1307
Virginia,Lynchburg,"1,313",0.98,-25,1288
Washington,Seattle,"1,313",1.03,41,1354
Washington,Spokane,"1,313",0.97,-43,1269
West Virginia,Charleston,"1,313",1.06,77,1390
Wisconsin,Green Bay,"1,313",0.99,-16,1297
Wyoming,Cheyenne,"1,313",1.01,13,1326
