state,year,generation_mwh
AL,2023,460000
AZ,2023,5890000
AR,2023,190000
CA,2023,39800000
CO,2023,2640000
CT,2023,1530000
DE,2023,390000
FL,2023,9620000
GA,2023,2180000
ID,2023,480000
IL,2023,1130000
IN,2023,560000
IA,2023,290000
KS,2023,270000
KY,2023,200000
LA,2023,460000
ME,2023,820000
MD,2023,2050000
MA,2023,4870000
MI,2023,1800000
MN,2023,1010000
MS,2023,150000
MO,2023,470000
MT,2023,170000
NE,2023,200000
NV,2023,2100000
NH,2023,680000
NJ,2023,4280000
NM,2023,700000
NY,2023,4550000
NC,2023,2060000
ND,2023,50000
OH,2023,1280000
OK,2023,340000
OR,2023,1460000
PA,2023,1870000
RI,2023,520000
SC,2023,680000
SD,2023,70000
TN,2023,480000
TX,2023,8700000
UT,2023,1090000
VT,2023,610000
VA,2023,1740000
WA,2023,1110000
WV,2023,80000
WI,2023,760000
WY,2023,120000
