,light_duty,med_duty,heavy_duty,bus
2017,1,1,1,1
2018,4,4,4,4
2019,7,7,7,7
2020,10,10,10,10
2021,13,13,13,13
2022,16,16,16,16
2023,19,19,19,19
2024,22,22,22,22
2025,25,25,25,25
2026,28,28,28,28
2027,31,31,31,31
2028,34,34,34,34
2029,37,37,37,37
2030,40,40,40,40
2031,43,43,43,43
2032,46,46,46,46
2033,49,49,49,49
2034,52,52,52,52
2035,55,55,55,55
2036,58,58,58,58
2037,61,61,61,61
2038,64,64,64,64
2039,67,67,67,67
2040,70,70,70,70
2041,73,73,73,73
2042,76,76,76,76
2043,79,79,79,79
2044,82,82,82,82
2045,85,85,85,85
2046,88,88,88,88
2047,91,91,91,91
2048,94,94,94,94
2049,97,97,97,97
2050,100,100,100,100
