,light_duty,med_duty,heavy_duty,bus
2017,2.22,0.01,0.1,0.06
2018,2.9,0.01,0.17,0.12
2019,3.82,0.03,0.26,0.2
2020,5.03,0.11,0.38,0.3
2021,6.7,0.23,0.53,1.07
2022,8.87,0.54,0.73,2.51
2023,11.29,0.95,0.97,4.56
2024,13.87,1.69,1.29,7.16
2025,16.53,2.77,1.68,10.44
2026,19.62,4.61,2.16,14.39
2027,23.22,7.33,2.84,18.87
2028,26.99,10.32,3.73,23.6
2029,30.66,13.47,4.82,28.65
2030,34.18,16.77,6.11,34.2
2031,37.59,20.33,7.53,39.78
2032,40.91,24.33,9.12,45.01
2033,44.11,28.51,11.01,49.82
2034,47.19,32.6,13.17,54.2
2035,50.17,36.59,15.51,58.22
2036,53.17,40.4,17.86,61.95
2037,56.06,43.97,20.21,65.46
2038,58.83,47.29,22.51,68.7
2039,61.49,50.38,24.65,71.61
2040,64.03,53.26,26.62,74.24
2041,66.53,56.03,28.5,76.71
2042,68.91,58.61,30.24,79.06
2043,71.18,61.01,31.85,81.3
2044,73.35,63.27,33.3,83.42
2045,75.43,65.44,34.59,85.45
2046,77.45,67.59,35.72,87.33
2047,79.42,69.71,36.68,89.14
2048,81.37,71.8,37.5,90.87
2049,83.3,73.86,38.2,92.5
2050,85.22,75.91,38.78,94.02
