,light_duty,med_duty,heavy_duty,bus
2017,1.29,0.32,0,0.06
2018,1.49,0.33,0,0.12
2019,1.81,0.35,0,0.2
2020,2.26,0.39,0,0.3
2021,2.88,0.45,0,0.39
2022,3.64,0.52,0,0.49
2023,4.52,0.6,0,0.58
2024,5.47,0.7,0,0.67
2025,6.52,0.8,0,0.76
2026,7.63,0.9,0,0.84
2027,8.68,1,0,0.91
2028,9.65,1.09,0,0.96
2029,10.54,1.18,0,0.98
2030,11.41,1.28,0,1
2031,12.23,1.37,0,1
2032,12.97,1.45,0,1
2033,13.65,1.53,0,1
2034,14.27,1.61,0,1
2035,14.83,1.67,0,1
2036,15.33,1.73,0,1
2037,15.75,1.77,0,1
2038,16.09,1.8,0,1
2039,16.4,1.82,0,1
2040,16.67,1.83,0,1
2041,16.9,1.85,0,1
2042,17.1,1.85,0,1
2043,17.29,1.86,0,1
2044,17.47,1.87,0,1
2045,17.62,1.87,0,1
2046,17.77,1.87,0,1
2047,17.93,1.87,0,1
2048,18.07,1.87,0,1
2049,18.21,1.87,0,1
2050,18.35,1.87,0,1
