,light_duty_vehicles,med_duty_vehicles,heavy_duty_vehicles,buses
Alabama,2.403,2.403,2.403,2.403
Alaska,0.178,0.178,0.178,0.178
Arizona,2.389,2.389,2.389,2.389
Arkansas,1.196,1.196,1.196,1.196
California,9.780,9.780,9.780,9.780
Colorado,1.695,1.695,1.695,1.695
Connecticut,0.922,0.922,0.922,0.922
Delaware,0.310,0.310,0.310,0.310
District of Columbia,0.102,0.102,0.102,0.102
Florida,7.178,7.178,7.178,7.178
Georgia,3.869,3.869,3.869,3.869
Hawaii,0.321,0.321,0.321,0.321
Idaho,0.607,0.607,0.607,0.607
Illinois,3.121,3.121,3.121,3.121
Indiana,2.549,2.549,2.549,2.549
Iowa,1.029,1.029,1.029,1.029
Kansas,0.986,0.986,0.986,0.986
Kentucky,1.538,1.538,1.538,1.538
Louisiana,1.727,1.727,1.727,1.727
Maine,0.463,0.463,0.463,0.463
Maryland,1.787,1.787,1.787,1.787
Massachusetts,1.903,1.903,1.903,1.903
Michigan,3.068,3.068,3.068,3.068
Minnesota,1.803,1.803,1.803,1.803
Mississippi,1.241,1.241,1.241,1.241
Missouri,2.482,2.482,2.482,2.482
Montana,0.423,0.423,0.423,0.423
Nebraska,0.658,0.658,0.658,0.658
Nevada,0.850,0.850,0.850,0.850
New Hampshire,0.422,0.422,0.422,0.422
New Jersey,2.430,2.430,2.430,2.430
New Mexico,0.857,0.857,0.857,0.857
New York,3.510,3.510,3.510,3.510
North Carolina,3.711,3.711,3.711,3.711
North Dakota,0.293,0.293,0.293,0.293
Ohio,3.516,3.516,3.516,3.516
Oklahoma,1.393,1.393,1.393,1.393
Oregon,1.139,1.139,1.139,1.139
Pennsylvania,3.237,3.237,3.237,3.237
Rhode Island,0.249,0.249,0.249,0.249
South Carolina,1.858,1.858,1.858,1.858
South Dakota,0.303,0.303,0.303,0.303
Tennessee,2.633,2.633,2.633,2.633
Texas,9.309,9.309,9.309,9.309
Utah,1.072,1.072,1.072,1.072
Vermont,0.217,0.217,0.217,0.217
Virginia,2.555,2.555,2.555,2.555
Washington,1.835,1.835,1.835,1.835
West Virginia,0.498,0.498,0.498,0.498
Wisconsin,2.061,2.061,2.061,2.061
Wyoming,0.328,0.328,0.328,0.328
